Personagem1,Personagem2,taxaVitoria1,taxaVitoria2
mario,donkey-kong,45.51,54.49
mario,link,48.53,51.47
mario,villager,47.5,52.5
mario,mega-man,44.7,55.3
mario,wii-fit-trainer,45.47,54.53
mario,rosalina,43.47,56.53
mario,little-mac,43.63,56.37
mario,shulk,50.87,49.13
mario,bowser-jr,45.37,54.63
mario,duck-hunt,44.2,55.8
mario,ryu,38.59,61.41
mario,ken,40.48,59.52
mario,cloud,51.62,48.38
mario,corrin,55.06,44.94
mario,bayonetta,40.13,59.87
mario,inkling,50.77,49.23
mario,ridley,48.92,51.08
mario,simon,38.53,61.47
mario,richter,41.91,58.09
mario,king-k-rool,51.41,48.59
mario,isabelle,43.8,56.2
mario,incineroar,45.27,54.73
mario,piranha-plant,48.15,51.85
mario,joker,55.63,44.37
mario,steve,37.58,62.42
mario,sephiroth,55.59,44.41
mario,pyra-and-mythra,49.83,50.17
mario,kazuya,39.45,60.55
mario,sora,47.17,52.83
donkey-kong,link,53.85,46.15
donkey-kong,samus,50.34,49.66
donkey-kong,dark-samus,48.62,51.38
donkey-kong,yoshi,51.48,48.52
donkey-kong,kirby,56.93,43.07
donkey-kong,sheik,56.43,43.57
donkey-kong,zelda,51.33,48.67
donkey-kong,dr-mario,48.08,51.92
donkey-kong,pichu,49.28,50.72
donkey-kong,falco,51.16,48.84
donkey-kong,marth,59.91,40.09
donkey-kong,lucina,62.16,37.84
donkey-kong,young-link,53.57,46.43
donkey-kong,ganondorf,59.09,40.91
donkey-kong,mewtwo,58.95,41.05
donkey-kong,roy,58.65,41.35
donkey-kong,chrom,57.57,42.43
donkey-kong,lucario,58.11,41.89
donkey-kong,rob,46.71,53.29
donkey-kong,toon-link,52.19,47.81
donkey-kong,wolf,57.56,42.44
donkey-kong,villager,47.09,52.91
donkey-kong,mega-man,45.83,54.17
donkey-kong,wii-fit-trainer,46.59,53.41
donkey-kong,rosalina,48.48,51.52
donkey-kong,little-mac,53.08,46.92
donkey-kong,greninja,51.09,48.91
donkey-kong,palutena,47.57,52.43
donkey-kong,pac-man,49.9,50.1
donkey-kong,robin,43.04,56.96
donkey-kong,richter,46.55,53.45
donkey-kong,king-k-rool,51.07,48.93
donkey-kong,isabelle,49.31,50.69
donkey-kong,incineroar,56.47,43.53
donkey-kong,piranha-plant,49.22,50.78
donkey-kong,joker,57.94,42.06
donkey-kong,hero,56.44,43.56
donkey-kong,banjo-and-kazooie,52.95,47.05
donkey-kong,terry,49.85,50.15
